"","X"
"1",7.42048825571232
"2",6.43238646034642
"3",8.0534642079994
"4",8.83120492984249
"5",6.97747933731344
"6",7.49886391247582
"7",7.38137175069898
"8",8.93567589891677
"9",7.97594269024615
"10",6.21494691337989
"11",6.72284382401556
"12",7.27916468794359
"13",8.15779554525496
"14",7.84286598928128
"15",6.263146636879
"16",8.22107472557093
"17",8.20160233072295
"18",8.03241142757741
"19",5.33943896177251
"20",8.2771003372912
"21",11.4710931636078
"22",6.40487919179426
"23",9.08452153153199
"24",8.69234327116563
"25",7.1591275478572
"26",8.78410963908198
"27",5.68100262357418
"28",8.43542481725271
"29",8.72926843845061
"30",9.58721635097921
"31",7.72511033596763
"32",8.90925838267708
"33",7.08163231338767
"34",7.39530377134281
"35",5.7039418069272
"36",8.24607517462916
"37",7.52396512104469
"38",9.37488153098981
"39",7.03589209959217
"40",6.24713323163917
"41",7.32750163844955
"42",9.83525641219665
"43",8.24110453609877
"44",7.94320112437764
"45",7.71931261223295
"46",9.90290795024622
"47",8.29856662840867
"48",8.13991072465817
"49",6.2084666734437
"50",6.74136225189897
"51",8.32722479416015
"52",6.57689819344695
"53",8.51693569844824
"54",6.70480739435769
"55",8.13075141556997
"56",9.23978436585525
"57",5.67258018476676
"58",8.40521158057165
"59",11.3201844085733
"60",6.8809109172334
"61",8.70710697436632
"62",7.48996055260124
"63",9.60607446785683
"64",9.55491237126614
"65",7.3555290283532
"66",7.61735641240119
"67",7.25445327249408
"68",10.1049713464974
"69",6.75599402487587
"70",8.05360825556269
"71",6.05219642364976
"72",8.85924690323022
"73",8.37109490704244
"74",9.805526181898
"75",7.79285331323374
"76",7.40080542589954
"77",8.21896949278418
"78",9.81414093008505
"79",8.94695413940851
"80",8.43561693415422
"81",9.5200594396878
"82",8.32235687192927
"83",7.53440568579685
"84",9.79854132130445
"85",8.53568991650035
"86",7.84008977970552
"87",7.91390189398924
"88",4.9807618595668
"89",6.64064654857189
"90",10.6752375306785
"91",10.5629920874249
"92",5.5027062443848
"93",8.60076389127143
"94",7.79105871738985
"95",7.86452500833809
"96",8.60819122163338
"97",8.57709705969718
"98",9.07711865093118
"99",7.49683484096915
"100",10.6246196114589
"101",6.21976412018578
"102",8.21192189055884
"103",7.85280597055035
"104",9.11768187238905
"105",8.16726509962595
"106",8.25086262148313
"107",8.50655433906258
"108",5.10419564016614
"109",9.33475516374537
"110",9.56448582595691
"111",8.97564094297333
"112",7.6238848009111
"113",7.70429689907286
"114",7.83041943944318
"115",10.3589638679568
"116",7.357779985027
"117",8.37398311051999
"118",6.05559377482091
"119",10.1091292540525
"120",8.30734687457796
"121",8.73991297441614
"122",7.58109431399771
"123",8.59570891618993
"124",9.38820920967042
"125",8.42183386146698
"126",7.12619683931086
"127",6.91624548752732
"128",6.26600477203345
"129",8.29016713945414
"130",7.1216955840932
"131",7.33596457109736
"132",9.03335557457311
"133",9.35103969633735
"134",8.23529958058535
"135",7.9904959792447
"136",7.33217163393945
"137",9.45507999271485
"138",6.07097292438373
"139",6.19205584402253
"140",8.125949660828
"141",8.33451332781897
"142",8.63901759017295
"143",6.94266123003544
"144",9.16629488196022
"145",6.46257752814733
"146",7.54093753593146
"147",9.59025285302377
"148",10.2137250424103
"149",8.04333461740021
"150",8.92454826267004
"151",6.76179091367776
"152",9.03660761952729
"153",8.13140633630414
"154",9.73733836455701
"155",7.96254336578472
"156",5.63267113587695
"157",6.70188596529204
"158",8.40321353620061
"159",8.17039235767712
"160",6.59741155798726
"161",8.24168492396113
"162",9.20145380430577
"163",10.5955059107727
"164",7.61269967318846
"165",7.43975220967524
"166",7.60230419315799
"167",8.53098067328698
"168",8.60324876081535
"169",7.18695647729484
"170",8.00403393348172
"171",8.47027475424044
"172",7.00335117352535
"173",7.76935913026666
"174",6.93807342437832
"175",6.30934978320084
"176",6.4415526364862
"177",10.476261720944
"178",9.59013134867986
"179",8.30132544250647
"180",7.7573628934768
"181",10.1892172769352
"182",9.33511868595152
"183",9.94514016266371
"184",9.44604254863237
"185",8.65233309203536
"186",8.06301185861601
"187",7.32416378114805
"188",9.06935721323479
"189",9.43296834143878
"190",7.49147120038011
"191",7.52992654713518
"192",6.48944162900538
